"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"JIOFIN","BE","21-Aug-2023","261.85","262.00","262.05","248.90","248.90","248.90","253.78","7,47,15,306","18,96,12,88,026.65","3,47,015","-","-"
"JIOFIN","BE","22-Aug-2023","248.90","236.45","236.45","236.45","236.45","236.45","236.45","72,81,398","1,72,16,86,557.10","88,607","-","-"
"JIOFIN","BE","23-Aug-2023","236.45","224.65","224.65","224.65","224.65","224.65","224.65","42,89,046","96,35,34,183.90","70,571","-","-"
"JIOFIN","BE","24-Aug-2023","224.65","213.45","213.45","213.45","213.45","213.45","213.45","2,76,73,356","5,90,68,77,838.20","85,618","-","-"
"JIOFIN","BE","25-Aug-2023","213.45","202.80","224.10","202.80","221.60","214.50","208.11","28,10,40,185","58,48,65,53,466.05","6,68,251","-","-"
"JIOFIN","BE","28-Aug-2023","214.50","213.35","222.25","207.55","210.10","211.15","216.13","8,75,22,126","18,91,64,12,848.50","6,14,341","-","-"
"JIOFIN","BE","29-Aug-2023","211.15","212.00","221.70","207.25","221.70","220.25","214.25","9,26,93,424","19,85,92,28,160.40","3,45,148","-","-"
"JIOFIN","BE","30-Aug-2023","220.25","224.90","231.25","224.70","231.25","231.25","229.95","2,14,03,170","4,92,15,96,463.40","55,481","-","-"
"JIOFIN","BE","31-Aug-2023","231.25","241.70","242.80","231.15","240.00","233.50","237.81","12,41,22,179","29,51,78,31,975.65","3,91,122","-","-"
"JIOFIN","BE","01-Sep-2023","233.50","235.00","245.15","234.20","245.15","245.15","242.30","3,94,81,020","9,56,63,42,034.90","2,16,961","-","-"
"JIOFIN","EQ","04-Sep-2023","245.15","255.30","266.95","249.00","254.65","253.45","256.95","9,92,46,736","25,50,15,31,017.55","7,74,466","4,72,43,474","47.60"
"JIOFIN","EQ","05-Sep-2023","253.45","257.00","260.00","253.00","255.30","255.05","256.91","4,71,27,078","12,10,73,42,857.05","3,61,296","3,02,06,106","64.10"
"JIOFIN","EQ","06-Sep-2023","255.05","247.00","259.80","246.05","253.75","252.85","252.20","22,54,13,157","56,84,88,29,290.55","6,34,106","14,06,57,604","62.40"
"JIOFIN","EQ","07-Sep-2023","252.85","252.00","257.30","251.25","252.70","251.80","253.96","4,38,56,832","11,13,77,20,945.45","3,37,076","2,37,91,788","54.25"
"JIOFIN","EQ","08-Sep-2023","251.80","254.00","255.00","249.50","253.50","253.20","252.58","3,60,90,005","9,11,57,23,140.40","2,64,191","1,97,90,900","54.84"
"JIOFIN","EQ","11-Sep-2023","253.20","256.95","257.70","250.00","250.05","250.15","252.22","2,49,82,858","6,30,12,23,367.10","2,26,553","1,69,08,754","67.68"
"JIOFIN","EQ","12-Sep-2023","250.15","251.75","252.00","240.90","244.00","244.25","246.21","3,95,00,716","9,72,55,22,530.40","2,57,463","2,68,22,109","67.90"
"JIOFIN","EQ","13-Sep-2023","244.25","244.80","247.80","236.60","241.00","240.20","241.39","2,78,10,990","6,71,33,36,513.55","2,19,521","1,86,69,045","67.13"
"JIOFIN","EQ","14-Sep-2023","240.20","242.00","244.55","241.25","242.85","242.55","242.68","1,40,55,236","3,41,09,33,151.45","1,69,150","86,09,342","61.25"
"JIOFIN","EQ","15-Sep-2023","242.55","243.80","244.65","237.65","239.40","239.40","240.60","2,74,16,106","6,59,63,70,879.40","1,72,549","1,94,43,644","70.92"
