Date,Close Price
30-Jun-2022,59.9
01-Jul-2022,61.4
04-Jul-2022,61.2
05-Jul-2022,61.2
06-Jul-2022,61.2
07-Jul-2022,63.65
08-Jul-2022,62.95
11-Jul-2022,63.75
12-Jul-2022,63.6
13-Jul-2022,63.9
14-Jul-2022,65.65
15-Jul-2022,66.25
18-Jul-2022,65.35
19-Jul-2022,65.55
20-Jul-2022,65.4
21-Jul-2022,64.9
22-Jul-2022,64.85
25-Jul-2022,65.05
26-Jul-2022,64.4
27-Jul-2022,65.7
28-Jul-2022,65.45
29-Jul-2022,65.05
01-Aug-2022,65.6
02-Aug-2022,65.95
03-Aug-2022,66.5
04-Aug-2022,70.3
05-Aug-2022,71.2
08-Aug-2022,71.4
10-Aug-2022,69.25
11-Aug-2022,70.05
12-Aug-2022,69.95
16-Aug-2022,70.25
17-Aug-2022,70.5
18-Aug-2022,70.8
19-Aug-2022,70.0
22-Aug-2022,70.25
23-Aug-2022,77.35
24-Aug-2022,80.05
25-Aug-2022,81.5
26-Aug-2022,79.5
29-Aug-2022,77.3
30-Aug-2022,81.65
01-Sep-2022,83.8
02-Sep-2022,84.8
05-Sep-2022,82.6
06-Sep-2022,81.0
07-Sep-2022,82.2
08-Sep-2022,83.0
09-Sep-2022,82.45
12-Sep-2022,81.6
13-Sep-2022,83.55
14-Sep-2022,91.85
15-Sep-2022,97.4
16-Sep-2022,94.3
19-Sep-2022,97.7
20-Sep-2022,96.8
21-Sep-2022,93.65
22-Sep-2022,93.75
23-Sep-2022,93.15
26-Sep-2022,89.25
27-Sep-2022,96.7
28-Sep-2022,94.8
29-Sep-2022,94.9
30-Sep-2022,96.3
03-Oct-2022,94.25
04-Oct-2022,100.2
06-Oct-2022,99.5
07-Oct-2022,101.75
10-Oct-2022,101.75
11-Oct-2022,97.6
12-Oct-2022,96.35
13-Oct-2022,101.0
14-Oct-2022,103.15
17-Oct-2022,103.85
18-Oct-2022,107.7
19-Oct-2022,105.35
20-Oct-2022,104.5
21-Oct-2022,100.05
24-Oct-2022,103.05
25-Oct-2022,100.1
27-Oct-2022,102.8
28-Oct-2022,104.65
31-Oct-2022,102.5
01-Nov-2022,102.0
02-Nov-2022,101.8
03-Nov-2022,101.4
04-Nov-2022,104.45
07-Nov-2022,105.3
09-Nov-2022,107.3
10-Nov-2022,102.8
11-Nov-2022,103.45
14-Nov-2022,102.8
15-Nov-2022,103.35
16-Nov-2022,101.35
17-Nov-2022,100.6
18-Nov-2022,98.5
21-Nov-2022,96.0
22-Nov-2022,91.2
23-Nov-2022,98.7
24-Nov-2022,98.95
25-Nov-2022,100.15
28-Nov-2022,99.85
29-Nov-2022,98.95
30-Nov-2022,105.9
01-Dec-2022,106.05
02-Dec-2022,109.75
05-Dec-2022,115.5
06-Dec-2022,113.55
07-Dec-2022,109.85
08-Dec-2022,107.8
09-Dec-2022,110.65
12-Dec-2022,119.0
13-Dec-2022,119.2
14-Dec-2022,118.7
15-Dec-2022,118.95
16-Dec-2022,125.45
19-Dec-2022,129.2
20-Dec-2022,131.05
21-Dec-2022,123.65
22-Dec-2022,122.65
23-Dec-2022,107.7
26-Dec-2022,121.75
27-Dec-2022,124.0
28-Dec-2022,131.15
29-Dec-2022,126.5
30-Dec-2022,126.55
02-Jan-2023,125.1
03-Jan-2023,124.7
04-Jan-2023,120.8
05-Jan-2023,123.1
06-Jan-2023,120.4
09-Jan-2023,125.2
10-Jan-2023,120.85
11-Jan-2023,119.3
12-Jan-2023,118.8
13-Jan-2023,123.05
16-Jan-2023,121.2
17-Jan-2023,120.6
18-Jan-2023,119.0
19-Jan-2023,119.6
20-Jan-2023,119.3
23-Jan-2023,119.6
